prefecture,high_total,high_male,high_female
Hokkaido,8408,6663,1745
Aomori,2092,1429,663
Iwate,2339,1635,704
Miyagi,3341,2503,838
Akita,1876,1264,612
Yamagata,1981,1342,639
Fukushima,3254,2181,1073
Ibaraki,4011,2753,1258
Tochigi,2381,1578,803
Gunma,2928,2110,818
Saitama,7679,5349,2330
Chiba,7000,4912,2088
Tokyo,9318,6021,3297
Kanagawa,8452,5905,2547
Niigata,3440,2334,1106
Toyama,1834,1134,700
Ishikawa,1869,1253,616
Fukui,1326,932,394
Yamanashi,1419,924,495
Nagano,3548,2692,856
Gifu,3078,2086,992
Shizuoka,4876,3433,1443
Aichi,8788,5773,3015
Mie,2713,1808,905
Shiga,2131,1421,710
Kyoto,3069,2100,969
Osaka,9283,5932,3351
Hyogo,7357,5093,2264
Nara,1693,1154,539
Wakayama,1848,1190,658
Tottori,1029,712,317
Shimane,1436,997,439
Okayama,2786,1913,873
Hiroshima,3655,2408,1247
Yamaguchi,2097,1491,606
Tokushima,1599,871,728
Kagawa,1626,989,637
Ehime,2187,1516,671
Kochi,1510,897,613
Fukuoka,5521,3628,1893
Saga,1504,1003,501
Nagasaki,2334,1624,710
Kumamoto,2465,1666,799
Oita,1905,1357,548
Miyazaki,1704,1194,510
Kagoshima,2847,2022,825
Okinawa,3146,1717,1429
